scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
13956__len__12759	-	14212__len__13920	-	-1770.08713264	0.197028798007	0.190476190476	21
13956__len__12759	-	20268__len__13856	-	-144.91652993	0.00425425114873	0.5	6
13956__len__12759	-	11681__len__37769	-	-197	0.965841479612	0.484905660377	530
13956__len__12759	-	5022__len__9450	-	1095.83909984	0.305830962839	0.285714285714	28
13956__len__12759	-	2195__len__13524	+	1007.04754082	0.664416402527	0.333333333333	75
13956__len__12759	-	2200__len__25949	-	2391.21755465	0.00443842871047	0.461538461538	13
13956__len__12759	-	14743__len__9268	-	1056.33953028	0.00470356989537	0.555555555556	9
13956__len__12759	-	9204__len__45440	-	-1640.77231819	0.00313794607834	0.5	8
13956__len__12759	-	12917__len__9788	+	-4510.32293956	0.00379991610005	0.444444444444	9
13956__len__12759	-	14212__len__13920	+	-5196.32293956	0.0280983387873	0.4	5
13956__len__12759	-	11883__len__17869	+	4120	0.00296940133663	0.571428571429	7
13956__len__12759	-	11184__len__31715	+	-1217.036895	0.0599257798613	0.444444444444	9
13956__len__12759	-	9729__len__9095	-	-269.96962256	0.00276673816123	0.4	5
13956__len__12759	-	5440__len__23940	-	-455.057781085	0.0746722570283	0.291666666667	24
13956__len__12759	-	8536__len__20646	+	-156.113734555	0.00466839446099	0.416666666667	12
13956__len__12759	-	11595__len__12716	-	24.7319007009	0.00288257497206	0.571428571429	7
13956__len__12759	-	5098__len__10332	-	2994.99480534	0.00410304875144	0.571428571429	7
13956__len__12759	-	14536__len__21779	-	-1302	0.792261346751	0.453488372093	86
13956__len__12759	-	23068__len__32721	+	-2358.71303145	0.00467324109962	0.5	8
13956__len__12759	-	15748__len__18785	-	-2041.57977931	0.00196394754251	0.5	6
13956__len__12759	-	19607__len__15257	+	-408.877072942	0.389471633288	0.4	45
13956__len__12759	-	17629__len__11792	-	2952.59667972	0.00335656164266	0.4	5
13956__len__12759	-	3004__len__12930	+	-2169	0.679119522865	0.545454545455	11
13956__len__12759	-	1928__len__23804	+	-2816.32293956	0.00406888398156	0.4	5
13956__len__12759	-	15129__len__8925	+	3133.22263973	0.00399047041304	0.6	5
13956__len__12759	-	14975__len__19199	-	-3388.32293956	0.365266707575	0.166666666667	6
13956__len__12759	-	9138__len__16334	+	-2456.47069457	0.00249613376315	0.5	6
13956__len__12759	-	5140__len__17630	-	1081.26622898	0.542667551906	0.2	10
6809__len__55588	+	2822__len__20955	-	-5379.32293956	0.0026907231286	0.5	8
21948__len__10907	-	36692__len__11499	+	-1565.09726626	0.00326820626124	0.5	8
21948__len__10907	-	24720__len__11191	+	198.338303691	0.000689067214711	0.333333333333	6
21948__len__10907	-	4870__len__21368	+	737.393066332	0.0029042284316	0.571428571429	7
21948__len__10907	-	21558__len__19587	-	1123.74517318	0.00215186305353	0.6	5
633__len__48583	-	8358__len__22527	-	47.6641511664	0.798294294154	0.666666666667	6
19708__len__11475	-	3095__len__12642	-	-4688.32293956	0.0021096180703	0.6	5
19708__len__11475	-	6848__len__8564	+	-4460.32293956	0.0021096180703	0.6	5
19708__len__11475	-	177__len__46086	+	-4268.32293956	0.105636408381	0.166666666667	6
19708__len__11475	-	2798__len__22659	+	-2103.32293956	0.768224271742	0.333333333333	6
19708__len__11475	-	3353__len__19426	+	-4267.32293956	0.423300308798	0.421052631579	19
19708__len__11475	-	13865__len__17222	+	-4282.32293956	0.0854195774411	0.125	8
19708__len__11475	-	9762__len__14835	-	-3344.32293956	0.695058865059	0.1	10
5394__len__44887	-	7543__len__18453	-	-122	0.606390239168	0.526315789474	95
13880__len__10026	+	4359__len__9887	+	1295.50126626	0.490184207433	0.333333333333	9
13880__len__10026	+	20824__len__11369	+	-749	0.64612008096	0.5	6
13880__len__10026	+	2522__len__23116	+	-1183.52339691	0.874919410476	0.4	5
13880__len__10026	+	23672__len__16486	-	-3553.32293956	0.285867104721	0.4	5
13880__len__10026	+	13276__len__8499	-	-3156.32293956	0.0349189057326	0.5	6
