scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
scaffold_23299	+	scaffold_20521	-	-209.688940663	0.660763739989	0.6	5
scaffold_01824	-	scaffold_06426	+	-55.1471920337	0.841725399463	0.5	6
scaffold_07991	+	scaffold_08292	+	-95.5752476849	0.503439663355	0.833333333333	6
scaffold_23155	-	scaffold_18447	+	-84.0882069975	0.506027413	0.666666666667	6
scaffold_16412	+	scaffold_04081	-	21.9747532368	0.842531409293	0.777777777778	9
scaffold_06391	-	scaffold_02987	+	-91.3743365245	0.549817363365	0.75	8
scaffold_04128	-	scaffold_16468	+	20.9841245863	0.635353934694	0.6	5
scaffold_08569	+	scaffold_07316	-	-265.688940663	0.0144081877046	0.5	6
scaffold_18491	-	scaffold_16400	-	-17	0.3379019534	0.833333333333	6
scaffold_01433	-	scaffold_15285	+	-139.688940663	0.973316337136	0.692307692308	13
scaffold_11156	+	scaffold_22128	-	-19.5028851523	0.79591231358	0.730769230769	26
scaffold_01719	+	scaffold_05279	-	-151.688940663	0.308781182687	0.571428571429	7
scaffold_02171	-	scaffold_04839	-	-86.1966012635	0.819259598627	0.666666666667	6
scaffold_00932	+	scaffold_07587	+	-29.8238090698	0.64034088449	0.6	5
scaffold_16504	-	scaffold_13052	-	-226.688940663	0.0571218640681	0.666666666667	9
scaffold_16504	-	scaffold_00532	+	-212.688940663	0.556132404517	0.6	5
scaffold_16504	-	scaffold_18572	+	-282.688940663	0.0308460870169	0.555555555556	9
scaffold_16504	-	scaffold_18469	+	-249.688940663	0.0594711575122	0.666666666667	9
scaffold_16504	-	scaffold_11408	-	-259.688940663	0.0327879559632	0.5	8
scaffold_16504	-	scaffold_08751	-	-249.688940663	0.0774703163548	0.538461538462	13
scaffold_16504	-	scaffold_04253	-	-243.688940663	0.0553877755262	0.7	10
scaffold_16504	-	scaffold_13796	-	-20	0.0658988410853	0.538461538462	13
scaffold_16504	-	scaffold_15734	-	-156.688940663	0.0442138116063	0.8	5
scaffold_23403	+	scaffold_03260	-	-35.5664822246	0.785134493975	0.571428571429	7
scaffold_01854	+	scaffold_04544	+	-102.864979114	0.62987661167	0.666666666667	6
scaffold_00435	-	scaffold_20199	-	36.2213538826	0.99740082863	0.6	5
scaffold_09974	+	scaffold_04309	-	-66.1417160198	0.651815946361	0.769230769231	13
scaffold_01603	-	scaffold_07890	-	-30.8428520786	0.956397537058	0.666666666667	6
scaffold_08995	+	scaffold_21744	+	-59.7321911951	0.707665488866	0.6	5
scaffold_15969	-	scaffold_14134	-	-269.688940663	0.0833934154665	0.8	5
scaffold_15969	-	scaffold_19131	+	-254.688940663	0.143295954835	0.666666666667	9
scaffold_15969	-	scaffold_05561	+	101.571519538	0.0770401936894	0.333333333333	6
scaffold_15969	-	scaffold_11931	+	-105.996526533	0.0693491484414	0.6	5
scaffold_15969	-	scaffold_07177	-	-137.688940663	0.0833934154664	0.8	5
scaffold_15969	-	scaffold_20957	+	-146.688940663	0.0673239176838	0.8	5
scaffold_15969	-	scaffold_02633	+	-26	0.0546560142863	0.875	8
scaffold_15969	-	scaffold_12672	-	-24.976763936	0.688204821677	0.8	5
scaffold_15969	-	scaffold_13287	-	-101.475603466	0.115789608601	0.555555555556	9
scaffold_15969	-	scaffold_17143	+	-160.688940663	0.055595610311	0.833333333333	6
scaffold_15969	-	scaffold_07776	+	-269.688940663	0.147388687742	0.571428571429	7
scaffold_15969	-	scaffold_12952	-	-21	0.0766934356145	0.714285714286	7
scaffold_15969	-	scaffold_09182	+	-167.688940663	0.0609870974605	0.8	5
scaffold_15969	-	scaffold_16504	-	70.5694440156	0.088498112869	0.75	8
scaffold_15969	-	scaffold_20664	+	-163.688940663	0.0810794012648	0.555555555556	9
scaffold_15969	-	scaffold_16798	-	-180.688940663	0.0720409385228	0.8	5
scaffold_01620	-	scaffold_19887	-	-174.688940663	0.957295503694	0.4	5
scaffold_03943	+	scaffold_08376	+	-158.688940663	0.354955483424	0.8	5
scaffold_10099	-	scaffold_17238	-	-159.688940663	0.878333819966	0.545454545455	11
scaffold_20074	-	scaffold_05810	-	-273.688940663	0.0176463539974	0.2	5
scaffold_20074	-	scaffold_01111	+	-163.688940663	0.20376254461	0.333333333333	6
scaffold_22182	-	scaffold_11930	-	-134.688940663	0.775474652791	0.4	5
scaffold_22182	-	scaffold_13746	-	-213.688940663	0	1.0	5
scaffold_22182	-	scaffold_16226	-	-4	0.25293107396	0.2	5
scaffold_01527	+	scaffold_16992	+	-86.3081001682	0.594554796243	0.333333333333	6
scaffold_02635	+	scaffold_00352	-	-83.6889406632	0.71330712451	0.764705882353	17
scaffold_19156	+	scaffold_05473	+	-139.688940663	0.348463928981	0.714285714286	7
scaffold_19156	+	scaffold_17904	-	-121.688940663	0.769385381397	0.5	6
scaffold_13010	+	scaffold_09208	+	-49.7324881813	0.385593932144	0.75	12
